C, H. Y., M., Sight Date Best Time, Lat, Lon, Age, W, ARCL ARCV, DAZ, SO, A,
S,1416,2, 1995-06-28  22:10:03,-30.1,-71,21.32,0.22,9.75,9.75,0.32, V, V
S,1339,6, 1921-02-08  22:25:23,42.3,-71.1,21.81,0.23,9.78,9.78,0.17, V, V
S,1404,6, 1984-03-03  15:58:49,15.6,35.6,21.45,0.22,9.79,9.13,3.53, I, V
S,1398,4, 1978-03-09  23:08:09,41.3,-72.9,20.52,0.24,9.8,9.39,2.81, V, V
S,1407,11, 1987-06-27  02:52:00,39.8,-105,21.24,0.23,9.82,9,3.94, I, V
S,1398,4, 1978-03-09  23:11:27,42.7,-73.8,20.57,0.25,9.84,9.35,3.08, V, V
S,1407,11, 1987-06-27  02:59:47,33.5,-112.1,21.37,0.23,9.84,9.48,2.65, V, V
O,1418,10, 1998-01-29  01:34:59,34.2,-118.1,19.55,0.26,9.9,9.72,1.85, V, V
S,1333,5, 1915-03-16  17:49:35,49.4,8.7,22.12,0.24,9.93,9.8,1.61, V, V
O,1418,3, 1997-07-05  16:06:39,-33.9,18.5,21.43,0.24,10.03,9.95,1.28, V, V
S,1407,11, 1987-06-27  03:22:57,40.7,-111.9,21.75,0.24,10.04,9.08,4.31, V(F), V
O,1425,5, 2004-06-18  19:12:20,32.5,3.7,22.74,0.24,10.08,9.72,2.69, I(T), V
O,1424,10, 2003-11-24  17:40:25,6.5,3.4,18.67,0.27,10.09,8.75,5.04, I(B), V
S,1407,11, 1987-06-27  03:50:16,37,-122,22.21,0.24,10.2,9.53,3.67, V, V
O,1418,1, 1997-05-07  16:16:02,-33.9,18.4,19.48,0.27,10.3,8.93,5.16, V, V
O,1422,8, 2001-10-17  14:12:22,29.6,52.5,18.8,0.28,10.31,8.73,5.51, I(B), V
S,1289,5, 06-07-1872  18:09:25,38,23.7,23.74,0.25,10.33,8.52,5.87, I, V
O,1422,8, 2001-10-17  14:13:27,32.6,51.7,18.82,0.28,10.35,8.43,6.02, I(B), V
S,1398,4, 1978-03-10  00:12:46,40.5,-89,21.6,0.27,10.37,9.96,2.89, V, V
O,1423,3, 2002-05-13  10:40:18,5,114.9,23.9,0.26,10.37,10.36,0.36, I(B), V
S,1399,3, 1979-01-29  01:24:21,47.6,-122.3,19.07,0.29,10.38,9.51,4.18, V(F), V
O,1422,8, 2001-10-17  14:24:24,26.6,50,19,0.28,10.39,9.07,5.08, V, V
S,1407,9, 1987-04-29  00:12:43,26.7,-81.8,22.63,0.26,10.39,10.32,1.22, V(F), V
S,1407,9, 1987-04-29  00:15:01,38.9,-77.1,22.66,0.26,10.41,10.32,1.34, V(F), V
O,1419,10, 1999-01-18  14:51:12,26.1,44,23.07,0.27,10.42,10.26,1.81, V, V
O,1419,10, 1999-01-18  14:52:24,26.1,43.7,23.09,0.27,10.43,10.27,1.81, I(B), V
S,1407,9, 1987-04-29  00:17:27,28,-82.5,22.7,0.26,10.43,10.38,0.95, I, V
O,1425,10, 2004-11-13  10:15:35,4.9,114.8,19.79,0.29,10.47,8.58,6.04, I(B), V
O,1422,8, 2001-10-17  14:39:43,24.6,46.5,19.26,0.29,10.5,9.34,4.83, I(B), V
S,1298,5, 30-03-1881  19:01:11,51.5,-2.6,20.48,0.28,10.51,10.41,1.44, V, V
S,1407,9, 1987-04-29  00:28:05,36.2,-81.7,22.88,0.27,10.51,10.48,0.8, V(F), V
S,1398,4, 1978-03-10  00:30:57,41.6,-93.6,21.9,0.28,10.53,10.05,3.16, V, V
S,1399,3, 1979-01-29  01:45:32,37.8,-122.4,19.42,0.3,10.53,10.28,2.29, V(F), V
S,1398,2, 1978-01-09  22:21:38,38.9,-76.9,18.35,0.3,10.54,10.39,1.78, V(F), V
S,1407,9, 1987-04-29  00:34:20,33.7,-84.4,22.99,0.27,10.56,10.55,0.28, I, V
O,1423,2, 2002-04-13  19:20:07,30.5,-9.7,23.96,0.26,10.57,9.14,5.33, I(T), V
O,1421,11, 2001-01-25  14:17:18,29.6,52.5,25.16,0.26,10.63,9.05,5.6, V, V
O,1421,11, 2001-01-25  14:15:30,32.6,51.7,25.13,0.26,10.64,8.71,6.13, V, V
S,1407,9, 1987-04-29  00:45:07,33,-87.4,23.17,0.27,10.64,10.64,0.15, I, V
S,1390,2, 1970-04-07  00:43:21,44.5,-88,20.55,0.29,10.65,10.61,0.9, V(F), V
O,1425,3, 2004-04-20  14:32:28,27.3,62.4,25.17,0.27,10.67,10.55,1.58, I(B), V
S,1338,8, 1920-04-19  18:37:46,43.5,7,20.91,0.3,10.68,9.67,4.55, V, V
S,1407,9, 1987-04-29  00:50:58,30,-90.1,23.26,0.28,10.69,10.68,0.49, V, V
S,1398,2, 1978-01-09  22:40:01,36,-79.8,18.66,0.3,10.7,10.63,1.23, V, V
S,1407,9, 1987-04-29  00:53:03,42.7,-84.5,23.3,0.28,10.73,10.49,2.26, V, V
O,1421,7, 2000-09-28  15:52:56,26.2,32.7,19.98,0.29,10.74,9.63,4.77, V, V
S,1398,2, 1978-01-09  22:49:37,34,-81.1,18.82,0.31,10.78,10.75,0.83, V(F), V
S,1407,9, 1987-04-29  01:01:30,40.8,-87.7,23.44,0.28,10.79,10.62,1.88, I, V
O,1422,8, 2001-10-17  15:25:26,-4,39.7,20.02,0.3,10.8,10.78,0.62, V, V
O,1421,11, 2001-01-25  14:49:07,24.6,46.5,25.69,0.27,10.82,9.75,4.72, I(B), V
O,1419,12, 1999-03-18  14:55:32,29.6,52.2,20.11,0.31,10.84,9.67,4.9, V, V
S,1398,2, 1978-01-09  22:58:52,29.9,-81.3,18.97,0.31,10.86,10.86,0.05, V, V
S,1398,2, 1978-01-09  22:56:50,41.9,-87.6,18.94,0.31,10.87,10.55,2.65, V, V
O,1422,8, 2001-10-17  15:17:30,31.9,35.8,19.89,0.31,10.9,8.84,6.4, I(T), V
S,1398,2, 1978-01-09  23:02:38,33.9,-84.3,19.04,0.32,10.9,10.87,0.87, V(F), V
S,1404,9, 1984-05-31  16:19:18,15.6,35.6,23.51,0.3,10.91,10.88,0.71, I, V
S,1398,2, 1978-01-09  23:02:40,43,-89.8,19.04,0.32,10.93,10.54,2.93, V(F), V
S,1407,9, 1987-04-29  01:21:51,30.3,-97.7,23.78,0.29,10.94,10.93,0.38, V, V
O,1419,12, 1999-03-18  15:01:54,36,50.8,20.21,0.31,10.95,9.13,6.07, V, V
S,1398,2, 1978-01-09  23:08:44,27.7,-82.7,19.14,0.32,10.95,10.94,0.51, V(F), V
S,1339,6, 1921-02-09  01:15:29,32.2,-110,24.64,0.28,10.98,10.89,1.43, V, V
S,1339,6, 1921-02-09  01:18:21,35.2,-111.7,24.69,0.28,10.99,10.97,0.78, V, V
S,1407,9, 1987-04-29  01:27:19,41.6,-93.7,23.87,0.29,11,10.79,2.13, I, V
O,1419,12, 1999-03-18  15:17:57,24.6,46.5,20.48,0.32,11.01,10.27,3.98, V, V
O,1424,3, 2003-05-02  15:11:39,27.7,54.4,26.93,0.29,11.06,10.65,3.01, I(T), V
O,1421,4, 2000-07-02  15:59:34,-32.4,20.8,20.64,0.33,11.09,9.55,5.66, V, V
O,1423,11, 2003-01-03  18:18:39,-33.9,18.4,21.91,0.31,11.09,9.7,5.4, V, V
O,1425,3, 2004-04-20  15:25:25,32.8,51,26.05,0.29,11.09,10.74,2.78, V, V
S,1398,2, 1978-01-09  23:21:39,41.6,-93.6,19.35,0.33,11.09,10.76,2.72, V, V
S,1340,10, 1922-05-27  16:03:30,-33.9,18.5,21.99,0.31,11.1,10.17,4.48, V, V
O,1423,7, 2002-09-07  22:24:44,10.7,-61.5,19.23,0.33,11.1,10.88,2.22, V, V
O,1422,5, 2001-07-21  15:55:38,32.6,51.7,20.17,0.33,11.12,8.85,6.77, V, V
O,1423,9, 2002-11-05  17:34:22,-33.9,18.4,20.98,0.33,11.14,9.92,5.09, V, V
S,1407,9, 1987-04-29  01:47:33,30.6,-104,24.21,0.3,11.14,11.14,0.28, V(F), V
O,1420,7, 1999-10-10  11:09:13,5.3,102.9,23.56,0.3,11.15,11.13,0.79, V, V
S,1398,2, 1978-01-09  23:32:29,30.9,-90.2,19.53,0.33,11.16,11.16,0.31, V(F), V
S,1390,4, 1970-06-05  01:37:24,28,-97,23.26,0.3,11.17,11.15,0.63, V, V
S,1339,6, 1921-02-09  01:44:54,34.2,-118,25.13,0.29,11.18,11.14,0.93, V(F), V
S,1390,4, 1970-06-05  01:38:10,26.3,-98.2,23.27,0.3,11.18,11.17,0.23, V, V
S,1398,2, 1978-01-09  23:34:17,30,-90.2,19.56,0.33,11.18,11.18,0.11, V, V
O,1420,11, 2000-02-06  14:20:34,36.2,51.7,25.27,0.3,11.19,9.52,5.91, V, V
O,1418,9, 1997-12-30  15:02:25,31.3,35.2,22.08,0.32,11.2,11.02,2.05, V, V
O,1418,9, 1997-12-30  15:04:50,31.3,34.6,22.12,0.32,11.22,11.03,2.06, I(B), V
O,1424,3, 2003-05-02  15:30:54,32.6,51.7,27.25,0.29,11.23,10.47,4.08, V, V
O,1422,11, 2002-01-14  14:41:03,24.6,46.5,25.19,0.3,11.3,9.54,6.09, I(B), V
S,1361,12, 1942-12-08  21:47:31,40.7,-74,19.8,0.34,11.32,9.78,5.74, V(F), V
S,1410,10, 1990-04-26  00:04:08,41.6,-73.7,19.6,0.35,11.42,11.41,0.38, I(V), V
O,1424,5, 2003-06-30  19:13:50,32.5,3.7,24.57,0.31,11.43,10.42,4.73, I(T), V
S,1339,12, 1921-08-04  16:24:07,-33.9,18.5,20.11,0.35,11.44,11.43,0.29, V, V
S,1397,1, 1976-12-21  22:36:54,43.8,-87.7,20.47,0.34,11.45,10.31,5.02, V, V
S,1397,1, 1976-12-21  22:46:26,29.9,-81.3,20.63,0.34,11.46,11.31,1.85, V, V
S,1398,2, 1978-01-10  00:06:30,29.7,-98.1,20.1,0.35,11.47,11.47,0.16, V, V
O,1419,12, 1999-03-18  16:03:48,31.9,35.2,21.25,0.34,11.48,10.1,5.47, V, V
S,1398,4, 1978-03-10  02:12:02,50.3,-119.3,23.58,0.33,11.48,10.21,5.28, V, V
O,1423,6, 2002-08-09  15:40:33,32.6,51.7,20.41,0.34,11.49,9.68,6.22, V, V
O,1416,5, 1995-09-25  16:59:43,-33.9,18.4,24.06,0.33,11.49,11.43,1.25, I(B), V
O,1424,3, 2003-05-02  16:04:53,38.2,46,27.82,0.31,11.52,10.23,5.33, V, V
S,1407,9, 1987-04-29  02:38:10,40.7,-111.9,25.05,0.32,11.56,11.36,2.13, V, V
S,1293,6, 22-06-1876  18:10:14,38,23.7,19.89,0.36,11.58,10.47,4.98, I, V
O,1420,10, 2000-01-07  22:13:07,10,-61.5,27.97,0.32,11.61,11.61,0.07, I(B), V
O,1425,2, 2004-03-21  23:56:08,36.8,-81.8,25.23,0.33,11.63,10.44,5.15, V, V
S,1397,1, 1976-12-21  22:57:52,42,-91.6,20.82,0.35,11.63,10.63,4.74, V(F), V
O,1420,11, 2000-02-06  15:18:36,36.2,37.2,26.24,0.33,11.65,9.94,6.11, I(B), V
S,1373,7, 1954-03-06  00:02:34,44.5,-88,20.85,0.36,11.75,11.75,0.18, V, V
O,1424,12, 2004-01-22  18:14:56,-33.9,18.4,21.15,0.36,11.76,10.17,5.93, V, V
O,1422,8, 2001-10-17  17:15:37,10.3,9.8,21.85,0.36,11.78,11.42,2.91, V, V
S,1407,9, 1987-04-29  03:10:55,37,-122,25.6,0.34,11.81,11.74,1.34, V, V
