No,Y,M,D,M/E,JD,Lat,Long,ARCL,ARCV,DAZ,Age,Lag,?,W',q,Visibility,Prediction
252,1990,5,24,E,48035.993,34.2,-118.1,10.1,10.1,0.7,15.4,51.9,61.2,0.26,-0.014,V(V),V(V)
36,1869,5,12,E,3829.172,38,23.7,13.5,9.1,10,25.6,45.8,56.4,0.42,-0.018,I,V(F)
220,1983,11,5,E,45643.432,37.2,-84.1,13.1,8.9,9.6,24.5,43.6,57.8,0.41,-0.041,I(V),V(F)
246,1990,4,24,M,48006.686,41.6,-73.7,12.1,9.1,-7.9,-18.8,-46,61.1,0.37,-0.048,I(V),V(F)
10,1861,10,5,E,1052.791,38,23.7,20.2,5.5,19.4,33.2,24.4,61.1,1,-0.048,I,V(F)
46,1872,7,6,E,4980.267,38,23.7,11.4,9.6,6.1,23.8,51.9,53.9,0.29,-0.049,I,V(F)
238,1989,5,5,E,47651.993,39.7,-105.5,9.8,9.8,-0.6,14.6,53,60.4,0.24,-0.053,I(V),V(F)
228,1987,6,26,E,46972.733,37.2,-84.1,10.3,9.8,3.1,19.8,54.3,54,0.24,-0.054,I(V),V(F)
250,1990,5,24,E,48035.993,31.6,-110.5,9.8,9.8,0,14.8,48.2,61.2,0.24,-0.054,I(V),V(F)
49,1872,10,3,E,5069.146,38,23.7,12.8,9,9.1,24.9,41.5,56.5,0.38,-0.056,I,V(F)
196,1987,6,26,E,46972.733,42.7,-84.5,10.5,9.5,4.4,20.2,58.8,54,0.24,-0.083,V(B),V(F)
157,1979,1,27,M,43901.764,35.2,-111.7,10.4,9.2,-4.8,-16.2,-44.2,61.4,0.27,-0.093,V(B),V(F)
52,1873,4,27,E,5275.447,38,23.7,10.2,9.2,4.4,18.8,45.7,58.5,0.25,-0.106,I,V(F)
120,1972,3,15,E,41391.983,35.5,-117.6,9.6,9.3,-2.6,14.7,42,60.8,0.23,-0.11,I(B),V(F)
119,1972,3,15,E,41391.983,35.5,-117.6,9.6,9.3,-2.6,14.7,42,60.8,0.23,-0.11,V(B),V(F)
225,1984,11,23,E,46027.457,34,-84,13.3,8,10.7,23.8,38.9,59.3,0.44,-0.123,I(V),V(F)
237,1989,5,5,E,47651.993,43,-85.7,9.2,9.2,-0.3,13.4,52.8,60.4,0.21,-0.128,I(V),V(F)
239,1989,5,5,E,47651.993,42.7,-84.8,9.2,9.2,-0.4,13.3,52.2,60.4,0.21,-0.133,I(V),V(F)
240,1989,5,5,E,47651.993,42.7,-84.8,9.2,9.2,-0.4,13.3,52.2,60.4,0.21,-0.133,I(I),V(F)
96,1921,2,8,E,22728.526,38.8,-9.1,9.3,9.2,-1.3,17.8,44.9,54.4,0.2,-0.141,I,V(F)
234,1988,6,14,E,47326.885,37.2,-84.1,9.3,9.2,1.6,16.1,50.6,55.9,0.2,-0.141,I(I),V(F)
241,1989,5,5,E,47651.993,30.3,-97,9.4,9,-2.5,13.6,41.7,60.4,0.22,-0.146,I(V),V(F)
224,1984,5,1,E,45821.657,37.2,-84.1,10.2,8.8,5.1,21,43.3,55.8,0.24,-0.153,I(I),V(F)
289,1995,1,1,E,49718.956,33,-106,9.1,9,-0.3,13.5,43.2,60.2,0.2,-0.153,I(V),V(F)
95,1921,2,8,E,22728.526,36.5,-6.2,9.2,9.1,-1.7,17.7,42.8,54.4,0.19,-0.155,I,V(F)
122,1973,7,1,E,41863.987,-44,170.5,10.6,8.5,-6.3,17.9,50.5,61.1,0.28,-0.156,I(V),V(F)
102,1922,3,29,E,23142.043,-33.9,18.5,12.9,8,-10.2,28,34.7,54.7,0.38,-0.157,I,V(F)
44,1871,9,14,M,4685.298,38,23.7,9.3,8.9,2.6,-15.4,-42.2,57.1,0.21,-0.163,V,I(V)
281,1990,5,24,E,48035.993,35.6,-83.5,8.9,8.9,0.2,13.2,46.2,61.2,0.2,-0.164,I(V),I(V)
39,1871,4,20,E,4537.295,38,23.7,11.1,8.4,7.2,22.3,40.1,54.4,0.28,-0.175,I,I(V)
253,1983,11,5,E,45643.432,15.6,35.6,9.3,8.8,3,17,34.4,58,0.21,-0.178,I,I(V)
294,1996,1,20,E,50103.036,34.1,-118.3,8.9,8.8,-1.6,12.6,41,61.2,0.2,-0.184,I(V),I(V)
295,1996,1,20,E,50103.036,34.1,-118.3,8.9,8.8,-1.6,12.6,41,61.2,0.2,-0.184,I(I),I(V)
15,1862,4,29,E,1259.477,38,23.7,8.9,8.9,0.2,18.1,44.6,54.1,0.18,-0.189,I,I(V)
166,1981,7,30,M,44816.662,42.3,-71.3,10.1,8.3,-5.8,-18.6,-45.2,59,0.25,-0.205,I,I(V)
293,1996,1,20,E,50103.036,32.8,-113.2,8.7,8.6,-1.8,12.3,39.2,61.2,0.19,-0.208,I(V),I(V)
98,1921,10,31,E,22993.485,-33.9,18.5,9.8,8.3,-5.3,17.9,37.8,58.1,0.23,-0.213,I,I(V)
292,1996,1,20,E,50103.036,32.4,-111,8.7,8.5,-1.9,12.2,38.6,61.2,0.19,-0.219,I(V),I(V)
280,1990,2,25,E,47947.872,35.6,-83.5,8.5,8.5,-0.6,14.8,38.3,59.4,0.18,-0.222,I(I),I(V)
278,1990,2,25,E,47947.872,35.6,-83.5,8.5,8.5,-0.6,14.8,38.3,59.4,0.18,-0.222,V(V),I(V)
279,1990,2,25,E,47947.872,35.6,-83.5,8.5,8.5,-0.6,14.8,38.3,59.4,0.18,-0.222,I(V),I(V)
271,1984,9,25,E,45968.634,15.6,35.6,8.4,8.2,1.7,12.5,30.5,61.4,0.18,-0.248,I,I(I)
20,1864,5,6,E,1997.51,39.6,26.2,9.1,7.8,4.7,17.3,39.5,57.6,0.2,-0.283,I,I(I)
288,1992,4,2,M,48715.71,19.8,-155.5,8.1,8.1,-0.7,-13,-30.9,55.7,0.15,-0.284,I(I),I(I)
226,1985,4,20,E,46175.724,37.2,-84.1,8.7,7.9,3.6,19.2,37.5,54,0.17,-0.287,I(I),I(I)
275,1984,11,23,E,46027.457,15.6,35.6,9.2,7.6,5.2,16.3,30.4,59.5,0.21,-0.296,I,I
7,1861,8,7,E,994.037,38,23.7,16,5,15.2,28.7,21.4,59,0.63,-0.316,I,I
231,1988,4,16,E,47268.001,37.2,-84.1,7.7,7.6,-1.2,12.4,35.9,59.2,0.15,-0.33,I(I),I
258,1984,2,2,E,45732.491,15.6,35.6,8.6,7.4,4.5,16,29,54.1,0.17,-0.34,I,I
169,1986,12,31,E,46795.633,39,-77,12.4,6,10.8,19,31.7,61.3,0.39,-0.348,I(B),I
232,1988,5,15,M,47297.425,37.2,-84.1,7.7,7.1,-2.8,-12,-34.8,58.2,0.14,-0.383,I(I),I
54,1873,12,20,E,5512.285,38,23.7,11.6,5.4,10.3,20.5,27.4,58.3,0.33,-0.447,I,I
3,1860,1,23,E,432.512,38,23.7,7.1,6.3,3.2,15.6,30.6,54.2,0.11,-0.482,I,I
242,1989,6,3,E,47681.33,19.8,-155.5,7,6.3,-3.1,9.2,25.8,59.2,0.12,-0.484,I(I),I
222,1984,1,3,E,45702.719,37.2,-84.1,8.7,5.1,7.1,17.4,24.9,54.9,0.17,-0.565,I(I),I
227,1987,4,27,M,46913.566,37.2,-84.1,7.6,5.3,-5.5,-15,-22.8,56.6,0.14,-0.573,I(I),I
41,1871,6,18,E,4596.604,38,23.7,7.1,5.4,4.5,15.5,26.9,54.1,0.11,-0.574,I,I
103,1922,4,27,E,23171.71,-33.9,18.5,6.1,5.5,-2.6,11.3,23.4,55.6,0.09,-0.576,I,I
229,1987,9,23,E,47061.63,37.2,-84.1,9.9,4.2,9,20.5,16.7,55.9,0.23,-0.62,I(I),I
194,1987,6,25,M,46972.733,-30.1,-71,9.6,4.2,8.6,-18.1,-18.1,54.3,0.21,-0.632,I(B),I
195,1987,6,26,E,46972.733,-30.1,-71,9,4,-8,16.4,16.8,54,0.18,-0.671,I(B),I
256,1984,1,3,E,45702.719,15.6,35.6,5.5,4.2,3.6,10.2,15.3,55,0.07,-0.72,I,I
